"","EWA","EWK","EWO","EWC","EWQ","EWG","EWH","EWI","EWJ","EWM","EWW","EWN","EWS","EWP","EWD","EWL","EWY","EZU","EWU","EWZ","EWT","SPY","EZA","EPI","RSX","TUR","EIS","THD","PIN","NORW","EEM","VWO","AAXJ","ILF","AFK","FEZ","XLF","XLK","XLE","XLV","XLY","XLI","XLB","XLU","IYR","SMH","XBI","VTI","IVV","QQQ","IWV","GLD","SLV","USO","UNG","DBO","DBC","UGA","DBA","GSG","SOXX","FDN","TAN","ICLN","PBW","IBB","PNQI"
"2013-12-03",14.8700971603394,11.6098136901855,13.2338418960571,22.1827411651611,19.8420257568359,22.6885719299316,14.0951986312866,20.4326667785645,39.3382148742676,29.5028667449951,49.6445350646973,19.9205665588379,16.5502948760986,24.5360126495361,22.7603893280029,24.5962181091309,50.9447250366211,29.0268287658691,24.7786140441895,25.725528717041,16.6614227294922,146.44873046875,36.8973617553711,14.1680727005005,17.1050510406494,38.8126029968262,40.1485977172852,52.738842010498,11.6363315582275,15.5775852203369,31.80788230896,29.1294937133789,48.1417770385742,21.8963737487793,21.7431831359863,28.5625591278076,13.850193977356,29.7964553833008,55.5971069335938,45.3031272888184,56.440544128418,40.1283226013184,34.4766235351562,25.8605995178223,42.9778022766113,17.9150981903076,41.9126968383789,76.2164535522461,147.079040527344,77.4003448486328,89.3816680908203,117.959999084473,18.4200000762939,276.079986572266,310.079986572266,23.7864513397217,22.3978404998779,58.9700012207031,22.1045436859131,32.0499992370605,20.3227386474609,55.7799987792969,33.3314361572266,8.1795597076416,24.5849189758301,71.7555618286133,12.8146810531616
"2013-12-04",14.8582067489624,11.5951089859009,13.0129461288452,22.0977210998535,19.7037811279297,22.4845104217529,14.0815668106079,20.39133644104,39.0426826477051,29.3162651062012,50.034252166748,19.7133903503418,16.4278831481934,24.4294490814209,22.7335453033447,24.4644813537598,50.4857711791992,28.7846355438232,24.6314849853516,25.6047191619873,16.7315273284912,146.432418823242,36.5106887817383,14.5015420913696,17.1359043121338,38.9656410217285,39.8909034729004,52.615852355957,11.9779624938965,15.5316505432129,31.7693881988525,29.136697769165,48.0539588928223,21.8190879821777,21.799898147583,28.3145503997803,13.8827877044678,29.8222312927246,55.4175682067871,45.1460304260254,56.3096199035645,39.9670448303223,34.6422653198242,25.9761047363281,43.0737724304199,17.854175567627,41.8964958190918,76.1102676391602,146.908218383789,77.4728469848633,89.3152542114258,119.959999084473,19,279.040008544922,309.760009765625,24.0322113037109,22.4415397644043,58.5900001525879,22.033296585083,32.1500015258789,20.2292098999023,56.1800003051758,33.4718856811523,8.21129322052002,24.7023677825928,71.752326965332,12.8946485519409
"2013-12-05",14.6679420471191,11.5583438873291,12.9526977539062,22.0126953125,19.6019153594971,22.4769515991211,14.0270404815674,20.07444190979,38.7143325805664,29.2975997924805,49.854377746582,19.6177768707275,16.1340961456299,24.0897808074951,22.666446685791,24.5574722290039,50.2844696044922,28.6378536224365,24.5211448669434,25.6680030822754,16.5445823669434,145.788787841797,36.6798629760742,14.5186433792114,16.9137630462646,38.4555168151855,40.0405235290527,52.2613563537598,11.8873252868652,15.5119647979736,31.5846519470215,29.0432968139648,47.8384056091309,21.8369197845459,21.7360935211182,28.0736389160156,13.7524261474609,29.7276859283447,55.2316093444824,45.0633773803711,56.3707084655762,39.9831733703613,34.4450721740723,25.7654685974121,43.1217460632324,17.9107494354248,41.3789138793945,75.8897018432617,146.355285644531,77.3731689453125,88.9666290283203,118.300003051758,18.6900005340576,279.440002441406,323.040008544922,24.1199893951416,22.4153213500977,58.5999984741211,21.8729877471924,32.0900001525879,20.2701244354248,56.439998626709,32.6554985046387,8.15575790405273,24.5066299438477,71.6027297973633,12.924635887146
"2013-12-06",14.769024848938,11.7274551391602,13.0598049163818,22.1131782531738,19.8565845489502,22.7943801879883,14.1224603652954,20.3775577545166,39.2068710327148,29.876091003418,50.5139236450195,19.8727588653564,16.2565021514893,24.2829246520996,22.7939376831055,24.8596954345703,51.1379737854004,29.0268287658691,24.8276500701904,26.0131607055664,16.7899513244629,147.418228149414,38.2084465026855,14.9803628921509,17.2963447570801,39.847412109375,40.605770111084,52.9052276611328,12.2917032241821,15.57102394104,32.28515625,29.6898212432861,48.5729064941406,22.0925674438477,21.9275016784668,28.5483856201172,13.941445350647,29.9340076446533,55.4047431945801,45.650333404541,56.8420066833496,40.5960655212402,34.9183235168457,26.1187973022461,43.4576187133789,18.1196212768555,41.466251373291,76.6739196777344,147.981521606445,77.9350051879883,89.8714141845703,118.550003051758,18.7600002288818,280.399993896484,322.720001220703,24.1726531982422,22.4939727783203,58.9799995422363,21.953145980835,32.2200012207031,20.5068454742432,56.689998626709,31.5406475067139,8.2350959777832,24.3108882904053,72.194580078125,12.9306335449219
"2013-12-09",14.5668725967407,11.7127494812012,13.1401271820068,22.229118347168,19.8638553619385,22.8321647644043,14.0815668106079,20.5015602111816,39.2068710327148,30.0253810882568,51.1359710693359,19.8169822692871,16.2442607879639,24.4893913269043,22.7201328277588,24.8674411773682,51.4278411865234,29.0782012939453,24.8766994476318,26.1857414245605,16.8600521087646,147.793029785156,38.0392723083496,15.082968711853,17.4321002960205,39.8765640258789,40.564208984375,52.8256301879883,12.361424446106,15.6103954315186,32.3313407897949,29.6970138549805,48.8922538757324,22.2709274291992,21.9416828155518,28.5979862213135,14.0001029968262,30.0285720825195,55.4816780090332,45.7412719726562,56.7983703613281,40.7009086608887,35.0997352600098,25.962516784668,43.7386665344238,18.2023029327393,41.1654052734375,76.8454437255859,148.30680847168,78.252197265625,90.1038284301758,119.720001220703,19.1200008392334,279.279998779297,331.200012207031,24.0497665405273,22.4153213500977,57.6699981689453,21.9442386627197,31.9599990844727,20.5536041259766,56.8699989318848,30.2238883972168,8.12402153015137,23.7628211975098,72.0254974365234,12.9546232223511
"2013-12-10",14.5609245300293,11.7127494812012,13.2003736495972,22.2986755371094,19.7401638031006,22.7112445831299,14.0611219406128,20.5291175842285,39.2725486755371,30.0253810882568,51.4582481384277,19.8090152740479,16.0851249694824,24.5093669891357,22.5188255310059,24.7202091217041,51.2426414489746,28.9828052520752,24.8276500701904,26.2720222473145,16.8366813659668,147.263458251953,38.1057243347168,15.0060148239136,17.4629497528076,40.1243362426758,40.3563995361328,52.818416595459,12.2777585983276,15.4988422393799,32.3467445373535,29.7544708251953,48.6846771240234,22.3065967559814,21.9629535675049,28.3995838165283,13.9479608535767,29.968391418457,55.3149642944336,45.5593910217285,56.8332672119141,40.6121978759766,35.202278137207,25.7043209075928,43.7386665344238,18.1326732635498,40.8710174560547,76.5922317504883,147.851531982422,78.1978073120117,89.7551803588867,121.819999694824,19.6599998474121,282.480010986328,332.160003662109,24.2253131866455,22.4852294921875,58.060001373291,21.9620513916016,32.1199989318848,20.4980716705322,57.3400001525879,30.8734874725342,8.15575790405273,23.9977035522461,71.4238815307617,13.1805295944214
"2013-12-11",14.3409385681152,11.6759843826294,13.09996509552,21.9663219451904,19.6819515228271,22.5600872039795,13.7612257003784,20.2122249603271,38.9113388061523,29.5401973724365,50.5588874816895,19.6337070465088,15.8770198822021,24.2496242523193,22.4181785583496,24.650463104248,50.1958885192871,28.7846355438232,24.5824451446533,25.4609107971191,16.68479347229,145.609573364258,37.3444557189941,14.6383476257324,17.1729297637939,39.1405296325684,39.8327140808105,52.0009231567383,11.984935760498,15.4135408401489,31.6308212280273,29.1510410308838,47.6707458496094,21.7655830383301,21.6793766021729,28.1870174407959,13.7589483261108,29.6932945251465,54.5327568054199,44.7740097045898,56.3096199035645,39.9751091003418,34.6028289794922,25.4936790466309,42.7927360534668,18.010835647583,39.3764495849609,75.6446151733398,146.135757446289,77.1919250488281,88.6927032470703,120.860000610352,19.5499992370605,279.839996337891,339.359985351562,24.0848808288574,22.4852294921875,57.4799995422363,21.9620513916016,32.060001373291,20.3198070526123,56.4700012207031,29.7674102783203,8.00502014160156,23.3713340759277,69.6516265869141,12.8846521377563
"2013-12-12",13.9960899353027,11.5951089859009,12.9660873413086,21.8658409118652,19.6091918945312,22.4240455627441,13.7953033447266,19.9917793273926,39.0426826477051,29.4095668792725,50.1466789245605,19.3149833679199,15.8158102035522,24.0032005310059,21.9618911743164,24.2862434387207,50.0268020629883,28.5644512176514,24.3372364044189,25.5759601593018,16.556266784668,145.128875732422,36.5590286254883,14.3647327423096,17.1852722167969,39.0968017578125,39.4087791442871,51.6102600097656,11.7618284225464,15.1838827133179,31.4460754394531,28.8924465179443,47.2795448303223,21.8131408691406,21.6084804534912,27.9815330505371,13.7589483261108,29.4955711364746,54.7635612487793,44.4516220092773,56.135082244873,40.0154228210449,34.5318222045898,25.527645111084,42.5048370361328,17.8150177001953,39.9781532287598,75.5057601928711,145.688507080078,76.9925308227539,88.5184020996094,118.290000915527,18.8099994659424,279.760009765625,341.920013427734,24.0409908294678,22.2754974365234,56.9300003051758,21.9442386627197,31.7999992370605,20.1532344818115,56.6399993896484,29.5391826629639,8.03675556182861,23.2147407531738,70.1491394042969,12.990608215332
"2013-12-13",14.1566162109375,11.5583438873291,12.8991479873657,21.94313621521,19.6019153594971,22.4693946838379,13.8770914077759,20.0468883514404,38.7143325805664,29.5401973724365,50.5813636779785,19.3388805389404,15.9382314682007,24.0698051452637,22.2101669311523,24.2397499084473,50.1878395080566,28.5644512176514,24.2391452789307,25.5069370269775,16.6030025482178,145.112579345703,37.1813316345215,14.2450284957886,17.222297668457,39.4757499694824,39.4669761657715,51.2051391601562,11.7478847503662,15.2626209259033,31.5230522155762,28.9786491394043,47.4551734924316,21.8607006072998,21.6722869873047,28.0240478515625,13.7719879150391,29.4010066986084,54.5840263366699,44.4846839904785,56.274730682373,40.1363945007324,34.6974868774414,25.4868946075439,42.6761932373047,17.7845573425293,39.8228759765625,75.5302658081055,145.631622314453,76.8928604125977,88.5432968139648,119.379997253418,18.9500007629395,277.119995117188,342.559997558594,23.7688961029053,22.1881103515625,56.7200012207031,21.9175205230713,31.7399997711182,20.1123123168945,56.8300018310547,29.6532974243164,8.05262279510498,23.4104900360107,70.074348449707,13.0105991363525
"2013-12-16",14.2636413574219,11.6906929016113,12.9058437347412,22.1054496765137,19.8420257568359,22.8019409179688,13.9043550491333,20.4740028381348,38.4844627380371,29.7454566955566,50.5888481140137,19.5779304504395,15.9627113342285,24.4960517883301,22.3712120056152,24.4334850311279,50.8561515808105,28.9754619598389,24.570182800293,25.5874710083008,16.5796337127686,146.016937255859,37.4109153747559,14.3989305496216,17.3457088470459,40.2773704528809,39.8327140808105,51.4149322509766,11.8873252868652,15.3610458374023,31.7309055328369,29.1223201751709,47.7505836486816,21.9320392608643,21.8353424072266,28.5058708190918,13.8567152023315,29.6932945251465,55.0585021972656,44.5673446655273,56.6412811279297,40.5154342651367,34.8394546508789,25.6227855682373,42.7241897583008,17.8846397399902,39.913444519043,76.0612640380859,146.501663208008,77.3187713623047,89.1409606933594,119.690002441406,19.2199993133545,279.519989013672,333.119995117188,23.9356651306152,22.258020401001,57.0200004577637,21.8908023834229,31.8700008392334,20.3607158660889,57.4500007629395,30.0922183990479,8.09228992462158,23.723669052124,70.2076644897461,13.0985641479492
"2013-12-17",14.1090545654297,11.6759843826294,12.8054342269897,22.0436153411865,19.6746768951416,22.7036876678467,13.8839101791382,20.2535572052002,38.5172958374023,29.5401973724365,50.0267601013184,19.4424743652344,15.8525400161743,24.3228874206543,22.3577842712402,24.4334850311279,50.4616050720215,28.7846355438232,24.4598388671875,25.6219825744629,16.5095310211182,145.55256652832,37.2477874755859,14.2621288299561,17.4012451171875,38.2733383178711,39.9740333557129,51.2919540405273,11.7757720947266,15.3151111602783,31.4537754058838,28.9283638000488,47.3833274841309,21.8419952392578,21.7715396881104,28.229528427124,13.7654609680176,29.6847019195557,54.7443084716797,44.352424621582,56.4929161071777,40.4992980957031,35.0682029724121,25.5752258300781,42.950382232666,18.0325927734375,39.3635063171387,75.8325424194336,146.005676269531,77.1646957397461,88.8587265014648,118.650001525879,19.1399993896484,278.959991455078,334.720001220703,23.7952270507812,22.1531562805176,57.1500015258789,21.7928352355957,31.75,20.5740604400635,57.5699996948242,30.8120422363281,8.0465145111084,24.0368480682373,69.3914566040039,13.0985641479492
"2013-12-18",14.1675539016724,11.7694187164307,13.0224742889404,22.1674194335938,19.9685020446777,23.0060024261475,14.0611362457275,20.5947246551514,39.2716331481934,29.7862091064453,50.7444305419922,19.7167148590088,15.9637079238892,24.850076675415,22.8657608032227,24.6349639892578,51.4484214782715,29.2234630584717,24.9152126312256,26.052209854126,16.7381000518799,148.03742980957,37.8310775756836,14.6212453842163,17.845531463623,38.5283889770508,40.1750679016113,52.1616744995117,12.1034603118896,15.4791564941406,32.0798301696777,29.4024696350098,48.1928634643555,22.156270980835,21.9983997344971,28.7609615325928,14.084831237793,29.9168186187744,55.5714454650879,45.4519233703613,57.3307228088379,41.1767158508301,35.4941215515137,25.9149532318115,43.7043800354004,18.2110004425049,40.3372383117676,77.0578536987305,148.534484863281,78.0618896484375,90.3113327026367,117.610000610352,19.0900001525879,280.239990234375,334.559997558594,23.8391132354736,22.1968460083008,58.060001373291,21.7839279174805,31.8799991607666,20.6821918487549,58.310001373291,30.6189212799072,8.08666706085205,24.1542930603027,71.3165740966797,13.3104753494263
"2013-12-19",14.3930139541626,11.8070936203003,12.9078855514526,22.3241367340088,20.0123615264893,23.08913230896,13.8069725036621,20.6917972564697,38.940788269043,29.4644908905029,50.3731002807617,19.7886734008789,15.7888336181641,24.9921913146973,22.9062957763672,24.7512054443359,50.5498313903809,29.2971019744873,24.9400253295898,25.684944152832,16.4761962890625,147.866409301758,37.6409454345703,14.1680727005005,17.6789264678955,36.8450050354004,39.9311218261719,51.0462646484375,11.733941078186,15.603832244873,31.489501953125,28.9139804840088,47.2745819091797,21.9689102172852,21.9487743377686,28.874324798584,14.0652761459351,29.968391418457,55.731746673584,45.3527145385742,57.2958335876465,41.2170333862305,35.5493278503418,25.7247066497803,43.1697387695312,18.1631355285645,40.3631172180176,76.9516448974609,148.445068359375,77.8443908691406,90.1702194213867,114.819999694824,18.4899997711182,282.559997558594,348,24.0058822631836,22.2492790222168,59.0400009155273,21.8017406463623,32.0499992370605,20.5974426269531,58.560001373291,31.3387413024902,8.19106483459473,24.2325992584229,70.8873519897461,13.3564567565918
"2013-12-20",14.6245708465576,11.9276504516602,12.9820327758789,22.3946590423584,20.0927562713623,23.2327327728271,13.8069725036621,20.8304882049561,39.0731315612793,29.21848487854,50.471607208252,20.0125522613525,15.9762020111084,25.0395641326904,23.0954360961914,24.8751926422119,50.5579986572266,29.4811706542969,24.9648456573486,25.3060207366943,16.5238151550293,148.726531982422,37.9292221069336,14.6297950744629,17.6727523803711,36.1016998291016,40.1245994567871,50.5578231811523,12.1433696746826,15.7153816223145,31.4428825378418,28.853328704834,47.282642364502,21.7513408660889,22.0054912567139,29.0722389221191,14.1510620117188,30.2025146484375,55.8302955627441,45.5809860229492,57.5341758728027,41.5485343933105,35.6620483398438,25.9794845581055,43.505615234375,18.2980308532715,41.2556037902832,77.4640808105469,149.233734130859,78.6371383666992,90.7512817382812,115.940002441406,18.6200008392334,283.839996337891,348.640014648438,24.093656539917,22.4240608215332,59.9599990844727,21.9620513916016,32.3899993896484,20.7815608978271,59.2799987792969,30.4345664978027,8.07060623168945,24.4182929992676,72.7441558837891,13.5363817214966
